# Program:featureCounts v2.0.1; Command:"featureCounts" "-t" "miRNA" "-g" "ID" "-F" "GFF" "-a" "/home/marianaurera/capstone/hsa.gff3" "-T" "4" "-s" "1" "-o" "/home/marianaurera/capstone/aligned/kidney_counts_newtry.txt" "RXF393_1_sorted.bam" "RXF393_2_sorted.bam" "SKRC39_1_sorted.bam" "SKRC39_2_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	RXF393_1_sorted.bam	RXF393_2_sorted.bam	SKRC39_1_sorted.bam	SKRC39_2_sorted.bam
MIMAT0010364	chr1	51836375	51836396	-	22	0	0	0	0
MIMAT0019942	chr1	54054091	54054111	+	21	0	0	0	0
MIMAT0019943	chr1	54054124	54054145	+	22	29	0	0	0
MIMAT0018935	chr1	55225656	55225676	+	21	0	0	0	0
MIMAT0019816	chr1	59733269	59733291	-	23	0	0	0	0
MIMAT0019817	chr1	59733235	59733252	-	18	0	0	0	0
MIMAT0049026	chr1	61846140	61846161	+	22	0	0	0	0
MIMAT0014978	chr1	62078830	62078851	+	22	0	0	0	0
MIMAT0014978_1	chr1	62078794	62078815	-	22	0	0	0	0
MIMAT0023693	chr1	63326964	63326984	-	21	0	0	0	0
MIMAT0019967	chr1	64579855	64579876	+	22	0	0	0	0
MIMAT0018094	chr1	65057762	65057783	-	22	0	0	0	0
MIMAT0004513	chr1	65058477	65058498	-	22	0	0	0	0
MIMAT0000099	chr1	65058442	65058462	-	21	15	0	0	0
MIMAT0014979	chr1	66628485	66628505	+	21	0	0	0	0
MIMAT0019197	chr1	66628452	66628471	+	20	0	0	0	0
MIMAT0005914	chr1	68183576	68183597	-	22	0	0	0	0
MIMAT0000456	chr1	71067681	71067702	-	22	189	91	2	287
MIMAT0004612	chr1	71067642	71067663	-	22	0	0	0	0
MIMAT0028222	chr1	77060143	77060165	+	23	0	0	0	0
MIMAT0028223	chr1	77060180	77060202	+	23	0	0	0	0
MIMAT0019232	chr1	85133806	85133827	+	22	0	0	0	0
MIMAT0018936	chr1	85133842	85133862	+	21	0	0	0	0
MIMAT0030431	chr1	86357665	86357685	-	21	0	0	0	0
MIMAT0004957	chr1	93846880	93846899	+	20	167	107	0	0
MIMAT0049027	chr1	94543754	94543775	+	22	0	0	0	0
MIMAT0013517	chr1	98045307	98045329	-	23	0	0	0	0
MIMAT0013518	chr1	98045271	98045292	-	22	0	0	0	0
MIMAT0000429	chr1	98046091	98046113	-	23	0	46	0	0
MIMAT0037310	chr1	98046127	98046149	-	23	0	0	0	0
MIMAT0003216	chr1	100281256	100281276	+	21	0	0	0	0
MIMAT0030427	chr1	107897282	107897303	+	22	0	0	0	0
MIMAT0000227	chr1	109598940	109598961	+	22	1142	1442	1810	554
MIMAT0022691	chr1	109598901	109598923	+	23	0	0	0	0
MIMAT0016877	chr1	112461806	112461823	-	18	0	0	0	0
MIMAT0044656	chr1	112882060	112882081	+	22	0	0	0	0
MIMAT0018938	chr1	116560038	116560059	-	22	0	0	0	0
MIMAT0005792	chr1	116671787	116671808	+	22	209	585	321	0
MIMAT0004985	chr1	117094655	117094676	+	22	1112	1225	1	1
MIMAT0026734	chr1	117094695	117094716	+	22	190	38	0	0
MIMAT0027373	chr1	145850620	145850640	-	21	19	0	0	0
MIMAT0027374	chr1	145850587	145850607	-	21	0	0	0	0
MIMAT0021079	chr1	148334522	148334544	-	23	0	0	0	0
MIMAT0023702	chr1	148388294	148388314	+	21	0	0	0	0
MIMAT0027656	chr1	150492350	150492372	+	23	0	0	0	0
MIMAT0027657	chr1	150492390	150492410	+	21	0	0	0	0
MIMAT0016878	chr1	150551987	150552004	+	18	0	0	0	0
MIMAT0003217	chr1	151545811	151545831	+	21	0	0	0	0
MIMAT0031010	chr1	153689763	153689783	-	21	0	0	0	0
MIMAT0027375	chr1	153962395	153962415	-	21	0	0	0	0
MIMAT0027376	chr1	153962351	153962372	-	22	0	0	0	1
MIMAT0022491	chr1	154104562	154104583	-	22	0	0	0	0
MIMAT0004929	chr1	154193712	154193733	-	22	0	48	0	0
MIMAT0037332	chr1	154193676	154193696	-	21	0	0	0	0
MIMAT0016879	chr1	154975703	154975719	+	17	0	0	0	0
MIMAT0004792	chr1	155195196	155195217	+	22	40	209	947	0
MIMAT0003218	chr1	155195237	155195258	+	22	2622	3873	14693	16995
MIMAT0003219	chr1	155346365	155346385	-	21	0	0	0	0
MIMAT0027377	chr1	155951309	155951331	-	23	0	0	0	0
MIMAT0027378	chr1	155951273	155951296	-	24	0	0	0	0
MIMAT0000441	chr1	156420392	156420414	-	23	38	42	1	203
MIMAT0000442	chr1	156420354	156420375	-	22	0	0	0	0
MIMAT0003945	chr1	156936156	156936176	-	21	0	0	0	0
MIMAT0016880	chr1	159899989	159900010	-	22	0	0	0	0
MIMAT0021117	chr1	161227195	161227216	+	22	0	0	0	0
MIMAT0021118	chr1	161227237	161227257	+	21	0	0	0	0
MIMAT0019720	chr1	162157116	162157137	+	22	0	0	0	0
MIMAT0003220	chr1	162342561	162342582	+	22	0	0	0	0
MIMAT0004793	chr1	162342600	162342621	+	22	0	0	0	0
MIMAT0018078	chr1	165907923	165907944	+	22	0	0	0	0
MIMAT0004971	chr1	166154773	166154797	-	25	0	0	0	0
MIMAT0005945	chr1	167998665	167998686	+	22	0	0	0	0
MIMAT0022725	chr1	167998699	167998720	+	22	0	0	0	0
MIMAT0003221	chr1	168375584	168375606	+	23	0	0	0	0
MIMAT0014981	chr1	170151435	170151454	-	20	0	0	0	0
MIMAT0014981_1	chr1	170151386	170151405	+	20	0	0	0	0
MIMAT0005885	chr1	171101738	171101758	-	21	0	0	0	0
MIMAT0022293	chr1	171101739	171101759	+	21	0	0	0	0
MIMAT0022294	chr1	171101777	171101798	+	22	0	0	0	0
MIMAT0004564	chr1	172138857	172138878	-	22	2	2	2	1
MIMAT0000271	chr1	172138816	172138837	-	22	75	19	17	12
MIMAT0014982	chr1	172138858	172138878	+	21	0	0	0	0
MIMAT0019198	chr1	172138820	172138840	+	21	0	0	0	0
MIMAT0000231	chr1	172144592	172144614	-	23	20	13	6	4
MIMAT0000232	chr1	172144554	172144575	-	22	1467	1431	187	468
MIMAT0039764	chr1	175968440	175968459	-	20	50	50	0	0
MIMAT0002804	chr1	177029412	177029432	-	21	0	0	0	0
MIMAT0004763	chr1	177029374	177029394	-	21	0	0	0	0
MIMAT0018939	chr1	178677763	178677784	+	22	0	0	0	0
MIMAT0049010	chr1	179803938	179803959	+	22	0	0	0	0
MIMAT0014983	chr1	180438323	180438344	-	22	0	0	0	0
MIMAT0019199	chr1	180438358	180438379	-	22	0	0	0	0
MIMAT0018941	chr1	192716333	192716349	+	17	0	0	0	0
MIMAT0005936	chr1	193136552	193136573	+	22	0	0	0	0
MIMAT0019860	chr1	196582453	196582474	-	22	0	0	0	0
MIMAT0019861	chr1	196582417	196582437	-	21	0	0	0	0
MIMAT0000257	chr1	198858925	198858947	-	23	7443	7065	1576	9278
MIMAT0022692	chr1	198858887	198858907	-	21	0	0	0	0
MIMAT0000256	chr1	198859108	198859130	-	23	24483	20953	7796	16256
MIMAT0000270	chr1	198859069	198859090	-	22	259	261	5	1
MIMAT0021122	chr1	201719579	201719600	+	22	0	0	0	0
MIMAT0005586	chr1	201808615	201808634	+	20	0	0	0	0
MIMAT0027379	chr1	201863378	201863399	+	22	0	0	0	0
MIMAT0027380	chr1	201863427	201863447	+	21	0	0	0	0
MIMAT0027381	chr1	202003129	202003150	+	22	0	0	0	0
MIMAT0027382	chr1	202003215	202003236	+	22	0	0	0	0
MIMAT0000758	chr1	205448361	205448383	-	23	406	440	15	16
MIMAT0004698	chr1	205448323	205448344	-	22	21	0	0	0
MIMAT0027620	chr1	206474808	206474830	+	23	0	0	0	0
MIMAT0027621	chr1	206474844	206474864	+	21	0	0	0	0
MIMAT0004673	chr1	207801903	207801924	-	22	912	1233	467	15
MIMAT0000681	chr1	207801865	207801886	-	22	133	147	16	11
MIMAT0000100	chr1	207802450	207802472	-	23	149	216	243	280
MIMAT0004515	chr1	207802492	207802513	-	22	0	0	1	0
MIMAT0000266	chr1	209432166	209432187	+	22	10	1	0	0
MIMAT0009197	chr1	209432203	209432223	+	21	0	0	0	0
MIMAT0016881	chr1	209623482	209623500	-	19	0	0	0	0
MIMAT0014984	chr1	212077622	212077643	+	22	0	0	0	0
MIMAT0000272	chr1	220117916	220117936	-	21	0	0	0	1
MIMAT0026476	chr1	220117877	220117899	-	23	0	0	0	0
MIMAT0000460	chr1	220118206	220118227	-	22	118	232	1	3
MIMAT0005948	chr1	220200586	220200609	-	24	0	33	1	0
MIMAT0005949	chr1	220200549	220200571	-	23	55	85	0	4
MIMAT0005792_1	chr1	224257049	224257070	-	22	305	637	353	1
MIMAT0019872	chr1	224398289	224398311	-	23	0	0	0	0
MIMAT0019873	chr1	224398227	224398249	-	23	0	11	0	1
MIMAT0027383	chr1	225922116	225922137	-	22	0	0	0	0
MIMAT0027384	chr1	225922080	225922101	-	22	0	0	0	0
MIMAT0021039	chr1	227941641	227941662	-	22	0	0	0	0
MIMAT0021040	chr1	227941610	227941630	-	21	0	0	0	0
MIMAT0018001	chr1	228097320	228097341	+	22	50	0	0	1
MIMAT0022967	chr1	228097285	228097306	+	22	0	0	0	0
MIMAT0027385	chr1	228397083	228397104	-	22	0	0	0	0
MIMAT0027386	chr1	228397048	228397067	-	20	0	0	0	0
MIMAT0019741	chr1	228462083	228462103	+	21	0	0	0	0
MIMAT0019742	chr1	228462125	228462145	+	21	0	0	0	0
MIMAT0005827	chr1	231019841	231019863	-	23	0	0	0	0
MIMAT0018942	chr1	233624195	233624215	+	21	0	0	0	0
MIMAT0019752	chr1	234306476	234306497	+	22	0	26	0	0
MIMAT0019753	chr1	234306512	234306532	+	21	41	27	0	0
MIMAT0019890	chr1	235190086	235190107	-	22	0	0	0	0
MIMAT0019891	chr1	235190040	235190061	-	22	0	0	0	0
MIMAT0007399	chr1	235853000	235853021	-	22	0	0	0	0
MIMAT0026765	chr1	235853037	235853058	-	22	0	0	0	0
MIMAT0018943	chr1	237471164	237471185	+	22	0	0	0	0
MIMAT0014985	chr1	241132320	241132336	+	17	0	0	0	0
MIMAT0019760	chr1	243346188	243346209	+	22	0	0	0	0
MIMAT0019761	chr1	243346225	243346246	+	22	0	0	0	0
MIMAT0018190	chr1	247202016	247202041	-	26	0	0	0	0
MIMAT0014986	chr1	248826383	248826403	+	21	0	14	0	0
MIMAT0019200	chr1	248826418	248826439	+	22	0	0	0	0
MIMAT0022492	chr10	641699	641720	-	22	0	33	0	0
MIMAT0027103	chr10	641748	641769	-	22	0	0	0	0
MIMAT0023697	chr10	2076031	2076052	-	22	0	0	0	0
MIMAT0023703	chr10	3991178	3991196	+	19	0	0	0	0
MIMAT0015029	chr10	6152247	6152267	+	21	0	0	0	0
MIMAT0019012	chr10	6152209	6152226	-	18	0	0	0	0
MIMAT0019013	chr10	12130792	12130812	-	21	0	0	0	0
MIMAT0019014	chr10	12578796	12578816	+	21	0	0	0	0
MIMAT0019015	chr10	12653181	12653197	-	17	0	0	0	0
MIMAT0011163	chr10	12725325	12725346	-	22	0	0	0	0
MIMAT0016848	chr10	14383210	14383226	-	17	0	0	0	0
MIMAT0005918	chr10	14436589	14436610	+	22	0	0	0	0
MIMAT0002808	chr10	17845122	17845142	+	21	1	0	1	0
MIMAT0026606	chr10	17845160	17845179	+	20	0	0	0	0
MIMAT0019757	chr10	20552015	20552036	+	22	0	0	0	0
MIMAT0007891	chr10	21496609	21496630	-	22	0	0	0	0
MIMAT0007892	chr10	21496576	21496595	-	20	0	0	0	0
MIMAT0003271	chr10	24275745	24275766	+	22	0	0	0	0
MIMAT0031013	chr10	28289319	28289340	-	22	0	0	0	0
MIMAT0003272	chr10	29545019	29545037	-	19	0	0	0	0
MIMAT0004981	chr10	29602311	29602332	-	22	0	0	0	0
MIMAT0028234	chr10	30368648	30368665	-	18	0	0	0	0
MIMAT0028235	chr10	30368597	30368615	-	19	0	0	0	0
MIMAT0017988	chr10	35079609	35079629	-	21	0	0	0	0
MIMAT0019768	chr10	35641181	35641203	-	23	0	0	0	0
MIMAT0022259	chr10	42997630	42997651	+	22	253	220	1373	786
MIMAT0015030	chr10	45164021	45164042	+	22	0	0	0	0
MIMAT0019209	chr10	45164062	45164082	+	21	0	0	0	0
MIMAT0016849	chr10	48985561	48985577	-	17	0	0	0	0
MIMAT0003273	chr10	51299588	51299610	+	23	0	0	0	0
MIMAT0026621	chr10	51299623	51299644	+	22	0	0	0	0
MIMAT0005895	chr10	54607889	54607907	-	19	0	0	0	0
MIMAT0026739	chr10	54607926	54607947	-	22	0	0	0	0
MIMAT0018199	chr10	57304489	57304510	-	22	0	0	0	0
MIMAT0005794	chr10	63373012	63373033	-	22	13	33	1	1
MIMAT0026637	chr10	63372969	63372990	-	22	0	0	0	0
MIMAT0028212	chr10	67403388	67403410	-	23	0	0	0	0
MIMAT0028213	chr10	67403351	67403371	-	21	0	0	0	0
MIMAT0028214	chr10	71790747	71790768	+	22	0	0	0	0
MIMAT0028215	chr10	71790781	71790800	+	20	0	0	0	0
MIMAT0019758	chr10	72721038	72721058	+	21	0	0	0	0
MIMAT0019759	chr10	72721072	72721093	+	22	0	0	0	0
MIMAT0003274	chr10	75552518	75552538	+	21	0	0	0	0
MIMAT0000773	chr10	86264747	86264769	-	23	0	0	0	0
MIMAT0019762	chr10	87503890	87503911	+	22	0	0	0	0
MIMAT0019763	chr10	89063381	89063402	-	22	0	0	0	0
MIMAT0019763_1	chr10	89063344	89063365	+	22	0	0	0	0
MIMAT0000104	chr10	89592756	89592778	-	23	25	8	0	0
MIMAT0015031	chr10	96064369	96064390	-	22	0	0	0	0
MIMAT0019210	chr10	96064321	96064342	-	22	0	0	0	0
MIMAT0003275	chr10	96828684	96828704	-	21	0	0	0	0
MIMAT0048635	chr10	97875860	97875884	-	25	0	0	0	0
MIMAT0048636	chr10	97875824	97875844	-	21	0	0	0	0
MIMAT0005878	chr10	98395271	98395292	-	22	117	228	0	476
MIMAT0026738	chr10	98395232	98395253	-	22	0	0	0	0
MIMAT0019771	chr10	98431332	98431357	-	26	0	0	0	0
MIMAT0019772	chr10	98431292	98431313	-	22	0	0	0	0
MIMAT0025470	chr10	98924543	98924563	-	21	0	0	0	0
MIMAT0025471	chr10	98924502	98924523	-	22	0	0	0	0
MIMAT0003276	chr10	100975000	100975024	+	25	0	0	0	0
MIMAT0015032	chr10	101601466	101601487	+	22	0	0	1	0
MIMAT0019211	chr10	101601429	101601449	+	21	0	0	0	0
MIMAT0015032_1	chr10	101601427	101601448	-	22	0	0	0	0
MIMAT0019211_1	chr10	101601465	101601485	-	21	0	0	0	0
MIMAT0002809	chr10	102436520	102436542	+	23	295	310	31	38
MIMAT0004766	chr10	102436557	102436578	+	22	0	0	0	0
MIMAT0005951	chr10	103394301	103394322	-	22	7256	5771	2838	4982
MIMAT0022727	chr10	103394341	103394361	-	21	102	20	0	0
MIMAT0004979	chr10	104048151	104048172	-	22	0	0	0	0
MIMAT0003277	chr10	104218849	104218868	-	20	0	0	0	0
MIMAT0020958	chr10	104268341	104268362	-	22	0	0	0	0
MIMAT0019016	chr10	104268377	104268398	-	22	0	0	0	0
MIMAT0019764	chr10	110898094	110898116	+	23	0	0	0	0
MIMAT0019765	chr10	110898131	110898151	+	21	0	0	0	0
MIMAT0005874	chr10	110988978	110988999	+	22	47	20	0	0
MIMAT0026736	chr10	110988940	110988961	+	22	0	0	0	0
MIMAT0025842	chr10	112299658	112299678	-	21	0	0	0	0
MIMAT0025843	chr10	112299622	112299643	-	22	0	0	0	0
MIMAT0025841	chr10	112299660	112299680	+	21	0	0	0	0
MIMAT0016844	chr10	112634180	112634197	+	18	0	0	0	0
MIMAT0019017	chr10	113778000	113778016	-	17	0	0	0	0
MIMAT0010133	chr10	114174151	114174172	-	22	650	722	601	3
MIMAT0048639	chr10	116827534	116827555	-	22	0	0	0	0
MIMAT0048640	chr10	116827499	116827520	-	22	0	0	0	0
MIMAT0018084	chr10	117167734	117167754	-	21	0	0	0	0
MIMAT0018085	chr10	117167695	117167717	-	23	0	0	0	0
MIMAT0019766	chr10	119377975	119377996	+	22	0	0	0	0
MIMAT0019767	chr10	119958522	119958544	+	23	0	0	0	0
MIMAT0018357	chr10	122417024	122417045	+	22	0	0	0	0
MIMAT0016845	chr10	125032844	125032860	-	17	0	0	0	0
MIMAT0019018	chr10	125819803	125819822	+	20	0	0	0	0
MIMAT0016846	chr10	129843349	129843364	-	16	0	0	0	0
MIMAT0016847	chr10	130962634	130962658	-	25	14	1	1	0
MIMAT0002810	chr10	133247572	133247593	-	22	0	0	0	0
MIMAT0002811	chr10	133247538	133247557	-	20	0	0	0	0
MIMAT0018360	chr10	133371579	133371601	-	23	0	0	0	0
MIMAT0019231	chr10	133371621	133371641	-	21	39	40	0	0
MIMAT0027387	chr11	209341	209362	+	22	0	0	0	0
MIMAT0027388	chr11	209383	209405	+	23	0	0	0	0
MIMAT0000267	chr11	568112	568133	-	22	54	49	2	1
MIMAT0026475	chr11	568150	568171	-	22	0	0	0	0
MIMAT0027389	chr11	1256610	1256628	+	19	0	0	0	0
MIMAT0027390	chr11	1256648	1256670	+	23	0	0	0	0
MIMAT0016852	chr11	1859505	1859526	-	22	0	0	0	0
MIMAT0030422	chr11	1880105	1880125	+	21	0	0	0	0
MIMAT0004284	chr11	1996800	1996822	-	23	0	0	0	0
MIMAT0006790	chr11	1996768	1996787	-	20	0	0	0	0
MIMAT0004761	chr11	2134181	2134202	-	22	0	0	0	0
MIMAT0002173	chr11	2134142	2134162	-	21	0	29	0	0
MIMAT0019773	chr11	2173072	2173094	+	23	0	0	0	0
MIMAT0019774	chr11	3856073	3856094	+	22	0	0	0	0
MIMAT0019775	chr11	3856113	3856133	+	21	0	2	0	0
MIMAT0005931	chr11	7234771	7234787	+	17	0	0	0	0
MIMAT0022483	chr11	9090350	9090371	-	22	0	0	0	0
MIMAT0019019	chr11	10508277	10508296	-	20	12	4	155	218
MIMAT0032116	chr11	10508305	10508320	-	16	0	9	19	0
MIMAT0016851	chr11	11656661	11656678	-	18	0	0	0	0
MIMAT0030997	chr11	11783191	11783212	-	22	0	0	0	0
MIMAT0024597	chr11	12163692	12163711	+	20	0	0	0	0
MIMAT0023698	chr11	15969555	15969574	-	20	0	0	0	0
MIMAT0015033	chr11	18387796	18387817	+	22	0	0	0	0
MIMAT0019020	chr11	19575314	19575330	+	17	0	0	0	0
MIMAT0019786	chr11	19760053	19760074	-	22	0	0	0	0
MIMAT0019787	chr11	19760013	19760033	-	21	0	0	0	0
MIMAT0030981	chr11	23419160	23419180	-	21	0	0	0	0
MIMAT0031014	chr11	27515015	27515037	-	23	0	0	0	0
MIMAT0003278	chr11	28056830	28056850	+	21	0	0	0	0
MIMAT0030995	chr11	28477517	28477538	-	22	0	0	0	0
MIMAT0019776	chr11	34941888	34941909	+	22	0	0	0	0
MIMAT0027038	chr11	34941851	34941872	+	22	0	0	0	0
MIMAT0019358	chr11	36010181	36010203	+	23	0	0	0	0
MIMAT0010357	chr11	43559675	43559694	+	20	0	0	0	0
MIMAT0026640	chr11	43559714	43559734	+	21	0	0	0	0
MIMAT0000242	chr11	43581408	43581428	+	21	10	0	0	0
MIMAT0004605	chr11	43581450	43581471	+	22	68	0	0	1
MIMAT0028218	chr11	45691754	45691776	-	23	0	0	0	0
MIMAT0028219	chr11	45691704	45691723	-	20	0	0	0	0
MIMAT0019777	chr11	46376456	46376477	+	22	0	0	0	0
MIMAT0015034	chr11	46451815	46451836	-	22	0	0	0	0
MIMAT0019212	chr11	46451856	46451877	-	22	0	0	0	0
MIMAT0019212_1	chr11	46451817	46451838	+	22	0	0	0	0
MIMAT0015034_1	chr11	46451858	46451879	+	22	0	0	0	0
MIMAT0022279	chr11	46753171	46753192	-	22	0	0	0	0
MIMAT0022280	chr11	46753125	46753146	-	22	22	0	0	0
MIMAT0027391	chr11	47179615	47179635	-	21	0	0	0	0
MIMAT0019021	chr11	47401023	47401041	+	19	0	0	0	0
MIMAT0015035	chr11	48096791	48096813	+	23	0	0	0	0
MIMAT0024611	chr11	56743943	56743961	+	19	0	0	0	0
MIMAT0004593	chr11	57641212	57641233	+	22	0	0	0	592
MIMAT0000425	chr11	57641252	57641273	+	22	43	89	11	601
MIMAT0015036	chr11	59595127	59595149	-	23	0	38	0	0
MIMAT0019213	chr11	59595087	59595107	-	21	0	0	0	0
MIMAT0025462	chr11	60209118	60209140	-	23	0	0	0	0
MIMAT0025463	chr11	60209084	60209104	-	21	0	0	0	0
MIMAT0019022	chr11	61508599	61508616	+	18	0	0	0	0
MIMAT0003279	chr11	61792500	61792522	-	23	0	0	0	0
MIMAT0007881	chr11	61815209	61815229	-	21	0	0	0	0
MIMAT0026916	chr11	61815172	61815192	-	21	0	0	1	0
MIMAT0027392	chr11	61878252	61878273	-	22	0	0	0	0
MIMAT0027393	chr11	61878216	61878237	-	22	0	0	0	0
MIMAT0027394	chr11	62567043	62567066	-	24	0	0	0	0
MIMAT0027395	chr11	62567011	62567031	-	21	0	20	0	0
MIMAT0027396	chr11	62789820	62789841	+	22	0	0	0	0
MIMAT0027397	chr11	62789865	62789885	+	21	0	0	0	2
MIMAT0025484	chr11	62792749	62792771	-	23	0	0	0	0
MIMAT0025485	chr11	62792702	62792722	-	21	0	0	0	0
MIMAT0028220	chr11	64341886	64341904	-	19	0	0	0	0
MIMAT0028221	chr11	64341849	64341867	-	19	0	0	216	0
MIMAT0005592	chr11	64368683	64368703	+	21	0	32	0	0
MIMAT0022946	chr11	64368651	64368671	+	21	0	0	0	0
MIMAT0041615	chr11	64878587	64878609	-	23	0	0	0	0
MIMAT0041616	chr11	64878523	64878546	-	24	0	13	0	0
